year,role,name
2008,General Chair,Hideki Koike
2008,General Chair,Koji Koyamada
2008,Organization Chair,Koji Koyamada
2008,Paper Chair,Hua Li
2008,Paper Chair,Issei Fujishiro 
2008,Paper Chair,Kwan-Liu Ma
2009,General Chair,Qinping Zhao
2009,General Chair,Hongbin Zha
2009,Organization Chair,Xiaoru Yuan
2009,Paper Chair,Han-Wei Shen
2009,Paper Chair,Peter Eades
2009,Paper Chair,Thomas Ertl
2010,General Chair,Ming Ouhyoung
2010,General Chair,Kwan-Liu Ma
2010,Organization Chair,Robin Bing-Yu Chen
2010,Paper Chair,Han-Wei Shen
2010,Paper Chair,Jarke van Wijk
2010,Paper Chair,Stephen North
2011,General Chair,Thomas Ertl
2011,General Chair,Wenping Wang
2011,Organization Chair,Huamin Qu
2011,Paper Chair,Giuseppe Di Battista
2011,Paper Chair,Huamin Qu
2011,Paper Chair,Jean-Daniel Fekete
2012,General Chair,Arie Kaufman
2012,General Chair,Yeong Gil Shin
2012,Organization Chair,Jinwook Seo
2012,Paper Chair,Helwig Hauser
2012,Paper Chair,Huamin Qu
2012,Paper Chair,Stephen Kobourov
2013,General Chair,Peter Eades
2013,General Chair,Hans Hagen
2013,Organization Chair,Seokhee Hong
2013,Paper Chair,Seokhee Hong
2013,Paper Chair,Sheelagh Carpendale
2013,Paper Chair,Wei Chen
2014,General Chair,Issei Fujishiro
2014,Organization Chair,Issei Fujishiro
2014,Paper Chair,Hans Hagen
2014,Paper Chair,Shigeo Takahashi
2014,Paper Chair,Ulrik Brandes
2015,General Chair,Wei Chen
2015,Organization Chair,Wei Chen
2015,Paper Chair,Gerik Scheuermann
2015,Paper Chair,Shigeo Takahashi
2015,Paper Chair,Shixia Liu
2016,General Chair,Chuan-Kai Yang
2016,General Chair,Hsu-Chun Yen
2016,Organization Chair,Chuan-Kai Yang
2016,Paper Chair,Chuck Hansen
2016,Paper Chair,Ivan Viola
2016,Paper Chair,Xiaoru Yuan
2017,General Chair,Jinwook Seo
2017,General Chair,Bongshin Lee
2017,Organization Chair,Jinwook Seo
2017,Paper Chair,Daniel Weiskopf
2017,Paper Chair,Tim Dwyer
2017,Paper Chair,Yingcai Wu
